Results of 
DepthFilter: -10000.0 - 0.0 meters
	
- - - - - - - - - - - - - - - - - - - -

(58.25, -155.14), mag = -1.30, depth = -3540.00, title = 101km ESE of King Salmon, Alaska
(58.18, -155.33), mag = -1.00, depth = -2400.00, title = 96km SE of King Salmon, Alaska
(52.05, -176.13), mag = -0.90, depth = -3180.00, title = 41km ENE of Adak, Alaska
(58.22, -155.16), mag = -0.90, depth = -2010.00, title = 102km ESE of King Salmon, Alaska
(58.29, -154.99), mag = -0.90, depth = -2760.00, title = 102km NW of Larsen Bay, Alaska
(58.47, -154.47), mag = -0.80, depth = -3380.00, title = 107km NNW of Larsen Bay, Alaska
(54.13, -165.96), mag = -0.80, depth = -3110.00, title = 12km W of Akutan, Alaska
(53.85, -166.79), mag = -0.80, depth = -9010.00, title = 16km WSW of Dutch Harbor, Alaska
(52.06, -176.13), mag = -0.80, depth = -2060.00, title = 41km ENE of Adak, Alaska
(52.07, -176.13), mag = -0.80, depth = -1660.00, title = 42km ENE of Adak, Alaska
(58.21, -155.07), mag = -0.80, depth = -900.00, title = 98km NW of Larsen Bay, Alaska
(58.30, -154.99), mag = -0.80, depth = -2770.00, title = 104km NW of Larsen Bay, Alaska
(58.22, -155.17), mag = -0.80, depth = -3290.00, title = 101km ESE of King Salmon, Alaska
(58.23, -155.17), mag = -0.80, depth = -1790.00, title = 100km ESE of King Salmon, Alaska
(54.16, -165.99), mag = -0.80, depth = -1430.00, title = 14km WNW of Akutan, Alaska
(58.19, -155.34), mag = -0.70, depth = -1600.00, title = 95km SE of King Salmon, Alaska
(53.85, -166.79), mag = -0.70, depth = -8510.00, title = 16km WSW of Dutch Harbor, Alaska
(52.06, -176.12), mag = -0.70, depth = -2970.00, title = 42km ENE of Adak, Alaska
(52.07, -176.12), mag = -0.70, depth = -2150.00, title = 43km ENE of Adak, Alaska
(54.14, -165.92), mag = -0.70, depth = -3360.00, title = 9km W of Akutan, Alaska
(61.26, -152.19), mag = -0.70, depth = -8210.00, title = 80km NW of Nikiski, Alaska
(52.07, -176.12), mag = -0.70, depth = -200.00, title = 42km ENE of Adak, Alaska
(58.18, -155.34), mag = -0.70, depth = -2030.00, title = 95km SE of King Salmon, Alaska
(52.04, -176.13), mag = -0.60, depth = -1650.00, title = 40km ENE of Adak, Alaska
(52.07, -176.06), mag = -0.60, depth = -7040.00, title = 46km ENE of Adak, Alaska
(52.06, -176.08), mag = -0.60, depth = -6770.00, title = 44km ENE of Adak, Alaska
(53.85, -166.79), mag = -0.60, depth = -8440.00, title = 16km W of Unalaska, Alaska
(52.07, -176.12), mag = -0.60, depth = -1930.00, title = 42km ENE of Adak, Alaska
(52.06, -176.12), mag = -0.60, depth = -1510.00, title = 41km ENE of Adak, Alaska
(58.17, -155.37), mag = -0.60, depth = -940.00, title = 95km SE of King Salmon, Alaska
(52.07, -176.13), mag = -0.60, depth = -3240.00, title = 42km ENE of Adak, Alaska
(52.07, -176.12), mag = -0.60, depth = -90.00, title = 42km ENE of Adak, Alaska
(52.07, -176.12), mag = -0.60, depth = -1040.00, title = 42km ENE of Adak, Alaska
(58.26, -155.03), mag = -0.60, depth = -3680.00, title = 101km NW of Larsen Bay, Alaska
(58.40, -154.89), mag = -0.60, depth = -6670.00, title = 107km ESE of King Salmon, Alaska
(52.07, -176.12), mag = -0.50, depth = -1190.00, title = 42km ENE of Adak, Alaska
(58.18, -155.35), mag = -0.50, depth = -2020.00, title = 95km SE of King Salmon, Alaska
(53.85, -166.79), mag = -0.50, depth = -8830.00, title = 16km WSW of Dutch Harbor, Alaska
